,id,daynight,,,Lat,Lng
38:12.2,1,day,IERS2010 latitude +0.0317 N longitude -165.2857 E elevation 421330.4 m,,0.0317,-165.2857
38:28.9,2,day,IERS2010 latitude -0.8122 N longitude -164.6917 E elevation 421497.9 m,,-0.8122,-164.6917
38:45.5,3,day,IERS2010 latitude -1.6581 N longitude -164.0959 E elevation 421672.6 m,,-1.6581,-164.0959
39:02.0,4,day,IERS2010 latitude -2.5041 N longitude -163.4993 E elevation 421853.9 m,,-2.5041,-163.4993
39:18.6,5,day,IERS2010 latitude -3.3459 N longitude -162.9047 E elevation 422041.0 m,,-3.3459,-162.9047
39:35.2,6,day,IERS2010 latitude -4.1874 N longitude -162.3087 E elevation 422234.5 m,,-4.1874,-162.3087
39:51.7,7,day,IERS2010 latitude -5.0306 N longitude -161.7098 E elevation 422434.8 m,,-5.0306,-161.7098
40:08.3,8,day,IERS2010 latitude -5.8703 N longitude -161.1111 E elevation 422640.6 m,,-5.8703,-161.1111
40:24.9,9,day,IERS2010 latitude -6.7124 N longitude -160.5081 E elevation 422853.3 m,,-6.7124,-160.5081
40:41.5,10,day,IERS2010 latitude -7.5536 N longitude -159.9027 E elevation 423072.0 m,,-7.5536,-159.9027
40:58.1,11,day,IERS2010 latitude -8.3929 N longitude -159.2954 E elevation 423296.3 m,,-8.3929,-159.2954
41:14.7,12,day,IERS2010 latitude -9.2295 N longitude -158.6863 E elevation 423525.7 m,,-9.2295,-158.6863
41:31.3,13,day,IERS2010 latitude -10.0668 N longitude -158.0724 E elevation 423761.3 m,,-10.0668,-158.0724
41:47.8,14,day,IERS2010 latitude -10.9017 N longitude -157.4557 E elevation 424001.9 m,,-10.9017,-157.4557
42:04.3,15,day,IERS2010 latitude -11.7327 N longitude -156.8370 E elevation 424246.9 m,,-11.7327,-156.837
42:20.9,16,day,IERS2010 latitude -12.5625 N longitude -156.2138 E elevation 424497.0 m,,-12.5625,-156.2138
42:37.6,17,day,IERS2010 latitude -13.3908 N longitude -155.5858 E elevation 424751.8 m,,-13.3908,-155.5858
42:54.2,18,day,IERS2010 latitude -14.2262 N longitude -154.9462 E elevation 425014.1 m,,-14.2262,-154.9462
43:10.8,19,day,IERS2010 latitude -15.0523 N longitude -154.3068 E elevation 425278.4 m,,-15.0523,-154.3068
43:27.4,20,day,IERS2010 latitude -15.8758 N longitude -153.6622 E elevation 425546.8 m,,-15.8758,-153.6622
43:44.0,21,day,IERS2010 latitude -16.6948 N longitude -153.0136 E elevation 425818.2 m,,-16.6948,-153.0136
44:00.6,22,day,IERS2010 latitude -17.5132 N longitude -152.3571 E elevation 426093.9 m,,-17.5132,-152.3571
44:17.1,23,day,IERS2010 latitude -18.3286 N longitude -151.6944 E elevation 426372.9 m,,-18.3286,-151.6944
44:33.7,24,day,IERS2010 latitude -19.1388 N longitude -151.0267 E elevation 426654.1 m,,-19.1388,-151.0267
44:50.2,25,day,IERS2010 latitude -19.9469 N longitude -150.3510 E elevation 426938.5 m,,-19.9469,-150.351
45:06.9,26,day,IERS2010 latitude -20.7515 N longitude -149.6680 E elevation 427225.4 m,,-20.7515,-149.668
45:23.4,27,day,IERS2010 latitude -21.5556 N longitude -148.9746 E elevation 427515.5 m,,-21.5556,-148.9746
45:40.1,28,day,IERS2010 latitude -22.3542 N longitude -148.2744 E elevation 427807.0 m,,-22.3542,-148.2744
45:56.7,29,day,IERS2010 latitude -23.1536 N longitude -147.5612 E elevation 428101.9 m,,-23.1536,-147.5612
46:13.3,30,day,IERS2010 latitude -23.9467 N longitude -146.8410 E elevation 428397.4 m,,-23.9467,-146.841
46:29.9,31,day,IERS2010 latitude -24.7318 N longitude -146.1146 E elevation 428692.5 m,,-24.7318,-146.1146
46:46.5,32,day,IERS2010 latitude -25.5164 N longitude -145.3745 E elevation 428990.0 m,,-25.5164,-145.3745
47:03.1,33,day,IERS2010 latitude -26.2940 N longitude -144.6262 E elevation 429287.0 m,,-26.294,-144.6262
47:19.7,34,day,IERS2010 latitude -27.0667 N longitude -143.8672 E elevation 429584.3 m,,-27.0667,-143.8672
47:36.3,35,day,IERS2010 latitude -27.8358 N longitude -143.0953 E elevation 429882.0 m,,-27.8358,-143.0953
47:52.9,36,day,IERS2010 latitude -28.5990 N longitude -142.3122 E elevation 430179.0 m,,-28.599,-142.3122
48:09.5,37,day,IERS2010 latitude -29.3571 N longitude -141.5163 E elevation 430475.5 m,,-29.3571,-141.5163
48:26.1,38,day,IERS2010 latitude -30.1092 N longitude -140.7078 E elevation 430770.9 m,,-30.1092,-140.7078
48:42.7,39,day,IERS2010 latitude -30.8555 N longitude -139.8858 E elevation 431065.0 m,,-30.8555,-139.8858
48:59.3,40,day,IERS2010 latitude -31.5949 N longitude -139.0506 E elevation 431357.2 m,,-31.5949,-139.0506
49:15.9,41,day,IERS2010 latitude -32.3278 N longitude -138.2009 E elevation 431647.4 m,,-32.3278,-138.2009
49:32.5,42,day,IERS2010 latitude -33.0522 N longitude -137.3385 E elevation 431934.7 m,,-33.0522,-137.3385
49:49.1,43,day,IERS2010 latitude -33.7714 N longitude -136.4583 E elevation 432220.2 m,,-33.7714,-136.4583
50:05.7,44,day,IERS2010 latitude -34.4818 N longitude -135.5640 E elevation 432502.1 m,,-34.4818,-135.564
50:22.3,45,day,IERS2010 latitude -35.1860 N longitude -134.6513 E elevation 432781.4 m,,-35.186,-134.6513
50:38.9,46,day,IERS2010 latitude -35.8812 N longitude -133.7226 E elevation 433056.9 m,,-35.8812,-133.7226
50:55.5,47,day,IERS2010 latitude -36.5676 N longitude -132.7769 E elevation 433328.3 m,,-36.5676,-132.7769
51:12.1,48,day,IERS2010 latitude -37.2459 N longitude -131.8121 E elevation 433595.9 m,,-37.2459,-131.8121
51:28.7,49,day,IERS2010 latitude -37.9132 N longitude -130.8315 E elevation 433858.2 m,,-37.9132,-130.8315
51:45.3,50,day,IERS2010 latitude -38.5727 N longitude -129.8291 E elevation 434116.4 m,,-38.5727,-129.8291
52:01.9,51,day,IERS2010 latitude -39.2199 N longitude -128.8106 E elevation 434368.6 m,,-39.2199,-128.8106
52:18.5,52,day,IERS2010 latitude -39.8571 N longitude -127.7717 E elevation 434615.6 m,,-39.8571,-127.7717
52:35.1,53,day,IERS2010 latitude -40.4856 N longitude -126.7084 E elevation 434857.8 m,,-40.4856,-126.7084
52:51.7,54,day,IERS2010 latitude -41.1026 N longitude -125.6244 E elevation 435093.8 m,,-41.1026,-125.6244
53:08.3,55,day,IERS2010 latitude -41.7053 N longitude -124.5235 E elevation 435322.7 m,,-41.7053,-124.5235
53:24.9,56,day,IERS2010 latitude -42.2965 N longitude -123.3996 E elevation 435545.2 m,,-42.2965,-123.3996
53:41.5,57,day,IERS2010 latitude -42.8768 N longitude -122.2496 E elevation 435761.6 m,,-42.8768,-122.2496
53:58.1,58,day,IERS2010 latitude -43.4419 N longitude -121.0811 E elevation 435970.2 m,,-43.4419,-121.0811
54:14.7,59,day,IERS2010 latitude -43.9952 N longitude -119.8855 E elevation 436172.1 m,,-43.9952,-119.8855
54:31.3,60,day,IERS2010 latitude -44.5338 N longitude -118.6674 E elevation 436366.3 m,,-44.5338,-118.6674
54:47.9,61,day,IERS2010 latitude -45.0573 N longitude -117.4263 E elevation 436552.6 m,,-45.0573,-117.4263
55:04.5,62,day,IERS2010 latitude -45.5657 N longitude -116.1610 E elevation 436730.8 m,,-45.5657,-116.161
55:21.2,63,day,IERS2010 latitude -46.0581 N longitude -114.8723 E elevation 436900.6 m,,-46.0581,-114.8723
55:37.8,64,day,IERS2010 latitude -46.5353 N longitude -113.5558 E elevation 437062.3 m,,-46.5353,-113.5558
55:54.5,65,day,IERS2010 latitude -46.9945 N longitude -112.2183 E elevation 437214.9 m,,-46.9945,-112.2183
56:11.1,66,day,IERS2010 latitude -47.4360 N longitude -110.8570 E elevation 437358.6 m,,-47.436,-110.857
56:27.7,67,day,IERS2010 latitude -47.8593 N longitude -109.4725 E elevation 437493.0 m,,-47.8593,-109.4725
56:44.3,68,day,IERS2010 latitude -48.2638 N longitude -108.0652 E elevation 437618.0 m,,-48.2638,-108.0652
57:00.9,69,day,IERS2010 latitude -48.6490 N longitude -106.6346 E elevation 437733.6 m,,-48.649,-106.6346
57:17.5,70,day,IERS2010 latitude -49.0147 N longitude -105.1808 E elevation 437839.5 m,,-49.0147,-105.1808
57:33.0,71,night,IERS2010 latitude -49.3594 N longitude -103.7079 E elevation 437935.4 m,,-49.3594,-103.7079
57:49.6,72,day,IERS2010 latitude -49.6613 N longitude -102.3186 E elevation 438015.7 m,,-49.6613,-102.3186
58:06.1,73,day,IERS2010 latitude -49.9651 N longitude -100.8068 E elevation 438092.1 m,,-49.9651,-100.8068
58:22.7,74,day,IERS2010 latitude -50.2471 N longitude -99.2757 E elevation 438158.4 m,,-50.2471,-99.2757
58:39.3,75,day,IERS2010 latitude -50.5064 N longitude -97.7288 E elevation 438214.3 m,,-50.5064,-97.7288
58:55.9,76,day,IERS2010 latitude -50.7432 N longitude -96.1644 E elevation 438259.8 m,,-50.7432,-96.1644
59:12.4,77,day,IERS2010 latitude -50.9571 N longitude -94.5826 E elevation 438294.9 m,,-50.9571,-94.5826
59:28.8,78,day,IERS2010 latitude -51.1474 N longitude -92.9867 E elevation 438319.4 m,,-51.1474,-92.9867
59:45.4,79,day,IERS2010 latitude -51.3114 N longitude -91.4034 E elevation 438333.0 m,,-51.3114,-91.4034
00:01.9,80,day,IERS2010 latitude -51.4542 N longitude -89.7819 E elevation 438336.3 m,,-51.4542,-89.7819
00:17.3,81,night,IERS2010 latitude -51.5720 N longitude -88.1595 E elevation 438328.8 m,,-51.572,-88.1595
00:32.7,82,night,IERS2010 latitude -51.6600 N longitude -86.6340 E elevation 438312.2 m,,-51.66,-86.634
00:49.3,83,day,IERS2010 latitude -51.7262 N longitude -85.1101 E elevation 438286.3 m,,-51.7262,-85.1101
01:05.9,84,day,IERS2010 latitude -51.7736 N longitude -83.4610 E elevation 438247.8 m,,-51.7736,-83.461
